instanceid,id,opmode,entityid,observedat,subproperties,unitcode,datasetid,valuetype,text,boolean,number,datetime,compound,geopoint,geomultipoint,geopolygon,geomultipolygon,geolinestring,geomultilinestring,ts
urn:ngsi-ld:attribute:instance:6b32f972-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058X,2026-04-07 09:00:00,f,MTS,None,Number,,,3,,,,,,,,,2026-04-07 09:51:58.669000
urn:ngsi-ld:attribute:instance:6b32fa26-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058X,2026-04-07 09:00:00,f,DD,None,Number,,,11,,,,,,,,,2026-04-07 09:51:58.669000
urn:ngsi-ld:attribute:instance:6b32fac6-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058X,2026-04-07 09:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 09:51:58.669000
urn:ngsi-ld:attribute:instance:6b32fb66-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058X,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T09:00:00+0000""}",,,,,,,2026-04-07 09:51:58.669000
urn:ngsi-ld:attribute:instance:6b350514-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,2026-04-07 09:00:00,f,,None,Number,,,38.950299,,,,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b350654-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,2026-04-07 09:00:00,f,,None,Number,,,-0.137697,,,,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b350708-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,2026-04-07 09:00:00,f,CEL,None,Number,,,17.6,,,,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b3507bc-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,2026-04-07 09:00:00,f,P1,None,Number,,,52,,,,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b35085c-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,2026-04-07 09:00:00,f,MTS,None,Number,,,2.5,,,,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b350906-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,2026-04-07 09:00:00,f,DD,None,Number,,,14,,,,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b3509ba-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,2026-04-07 09:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b350a64-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T09:00:00+0000""}",,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b36abb2-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 09:00:00,f,,None,Number,,,38.710917,,,,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b36aca2-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 09:00:00,f,,None,Number,,,-0.460071,,,,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b36ad56-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 09:00:00,f,CEL,None,Number,,,15.2,,,,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b36ae00-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 09:00:00,f,P1,None,Number,,,60,,,,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b36aeaa-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 09:00:00,f,MTS,None,Number,,,1.6,,,,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b36af4a-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 09:00:00,f,DD,None,Number,,,90,,,,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b36afea-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 09:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b36b094-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T09:00:00+0000""}",,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b381fec-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 09:00:00,f,,None,Number,,,39.113382,,,,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b382118-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 09:00:00,f,,None,Number,,,-0.445908,,,,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b3821b8-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 09:00:00,f,CEL,None,Number,,,17.1,,,,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b382262-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 09:00:00,f,P1,None,Number,,,59,,,,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b38230c-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 09:00:00,f,MTS,None,Number,,,0.9,,,,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b3823ac-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 09:00:00,f,DD,None,Number,,,212,,,,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b382456-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 09:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b3824f6-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T09:00:00+0000""}",,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b397e14-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 09:00:00,f,,None,Number,,,39.183889,,,,,,,,,2026-04-07 09:51:58.712000
urn:ngsi-ld:attribute:instance:6b397f4a-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 09:00:00,f,,None,Number,,,-0.371389,,,,,,,,,2026-04-07 09:51:58.712000
urn:ngsi-ld:attribute:instance:6b398030-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 09:00:00,f,CEL,None,Number,,,18.3,,,,,,,,,2026-04-07 09:51:58.712000
urn:ngsi-ld:attribute:instance:6b398102-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 09:00:00,f,P1,None,Number,,,47,,,,,,,,,2026-04-07 09:51:58.712000
urn:ngsi-ld:attribute:instance:6b398224-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/atmosphericPressure,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 09:00:00,f,HPA,None,Number,,,1020.8,,,,,,,,,2026-04-07 09:51:58.712000
urn:ngsi-ld:attribute:instance:6b3982ce-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 09:00:00,f,MTS,None,Number,,,1.6,,,,,,,,,2026-04-07 09:51:58.712000
urn:ngsi-ld:attribute:instance:6b39836e-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 09:00:00,f,DD,None,Number,,,254,,,,,,,,,2026-04-07 09:51:58.712000
urn:ngsi-ld:attribute:instance:6b398418-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 09:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 09:51:58.712000
urn:ngsi-ld:attribute:instance:6b3984b8-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T09:00:00+0000""}",,,,,,,2026-04-07 09:51:58.712000
urn:ngsi-ld:attribute:instance:6b3ab91e-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8328X,2026-04-07 09:00:00,f,,None,Number,,,39.311944,,,,,,,,,2026-04-07 09:51:58.720000
urn:ngsi-ld:attribute:instance:6b3aba04-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8328X,2026-04-07 09:00:00,f,,None,Number,,,-0.355833,,,,,,,,,2026-04-07 09:51:58.720000
urn:ngsi-ld:attribute:instance:6b3abaae-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8328X,2026-04-07 09:00:00,f,CEL,None,Number,,,19,,,,,,,,,2026-04-07 09:51:58.720000
urn:ngsi-ld:attribute:instance:6b3abb58-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8328X,2026-04-07 09:00:00,f,P1,None,Number,,,50,,,,,,,,,2026-04-07 09:51:58.720000
urn:ngsi-ld:attribute:instance:6b3abbf8-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/atmosphericPressure,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8328X,2026-04-07 09:00:00,f,HPA,None,Number,,,1022.1,,,,,,,,,2026-04-07 09:51:58.720000
urn:ngsi-ld:attribute:instance:6b3abc98-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8328X,2026-04-07 09:00:00,f,MTS,None,Number,,,1.4,,,,,,,,,2026-04-07 09:51:58.720000
urn:ngsi-ld:attribute:instance:6b3abd42-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8328X,2026-04-07 09:00:00,f,DD,None,Number,,,7,,,,,,,,,2026-04-07 09:51:58.720000
urn:ngsi-ld:attribute:instance:6b3abde2-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8328X,2026-04-07 09:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 09:51:58.720000
urn:ngsi-ld:attribute:instance:6b3abe82-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8328X,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T09:00:00+0000""}",,,,,,,2026-04-07 09:51:58.720000
urn:ngsi-ld:attribute:instance:6b3c18d6-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 09:00:00,f,,None,Number,,,39.485015,,,,,,,,,2026-04-07 09:51:58.729000
urn:ngsi-ld:attribute:instance:6b3c19d0-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 09:00:00,f,,None,Number,,,-0.474677,,,,,,,,,2026-04-07 09:51:58.729000
urn:ngsi-ld:attribute:instance:6b3c1a84-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 09:00:00,f,CEL,None,Number,,,17.8,,,,,,,,,2026-04-07 09:51:58.729000
urn:ngsi-ld:attribute:instance:6b3c1b2e-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 09:00:00,f,P1,None,Number,,,41,,,,,,,,,2026-04-07 09:51:58.729000
urn:ngsi-ld:attribute:instance:6b3c1bce-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/atmosphericPressure,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 09:00:00,f,HPA,None,Number,,,1014.8,,,,,,,,,2026-04-07 09:51:58.729000
urn:ngsi-ld:attribute:instance:6b3c1c82-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 09:00:00,f,MTS,None,Number,,,0.9,,,,,,,,,2026-04-07 09:51:58.729000
urn:ngsi-ld:attribute:instance:6b3c1d22-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 09:00:00,f,DD,None,Number,,,110,,,,,,,,,2026-04-07 09:51:58.729000
urn:ngsi-ld:attribute:instance:6b3c1dcc-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 09:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 09:51:58.729000
urn:ngsi-ld:attribute:instance:6b3c1e6c-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T09:00:00+0000""}",,,,,,,2026-04-07 09:51:58.729000
urn:ngsi-ld:attribute:instance:6b3d906c-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 09:00:00,f,,None,Number,,,39.480557,,,,,,,,,2026-04-07 09:51:58.739000
urn:ngsi-ld:attribute:instance:6b3d9166-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 09:00:00,f,,None,Number,,,-0.366387,,,,,,,,,2026-04-07 09:51:58.739000
urn:ngsi-ld:attribute:instance:6b3d9292-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 09:00:00,f,CEL,None,Number,,,17.3,,,,,,,,,2026-04-07 09:51:58.739000
urn:ngsi-ld:attribute:instance:6b3d933c-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 09:00:00,f,P1,None,Number,,,50,,,,,,,,,2026-04-07 09:51:58.739000
urn:ngsi-ld:attribute:instance:6b3d93e6-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 09:00:00,f,MTS,None,Number,,,1.2,,,,,,,,,2026-04-07 09:51:58.739000
urn:ngsi-ld:attribute:instance:6b3d9490-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 09:00:00,f,DD,None,Number,,,107,,,,,,,,,2026-04-07 09:51:58.739000
urn:ngsi-ld:attribute:instance:6b3d953a-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 09:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 09:51:58.739000
urn:ngsi-ld:attribute:instance:6b3d95e4-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T09:00:00+0000""}",,,,,,,2026-04-07 09:51:58.739000
urn:ngsi-ld:attribute:instance:6b3ee476-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 09:00:00,f,,None,Number,,,39.795551,,,,,,,,,2026-04-07 09:51:58.748000
urn:ngsi-ld:attribute:instance:6b3ee598-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 09:00:00,f,,None,Number,,,-0.485282,,,,,,,,,2026-04-07 09:51:58.748000
urn:ngsi-ld:attribute:instance:6b3ee674-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 09:00:00,f,CEL,None,Number,,,18.2,,,,,,,,,2026-04-07 09:51:58.748000
urn:ngsi-ld:attribute:instance:6b3ee728-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 09:00:00,f,P1,None,Number,,,39,,,,,,,,,2026-04-07 09:51:58.748000
urn:ngsi-ld:attribute:instance:6b3ee7c8-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 09:00:00,f,MTS,None,Number,,,1.3,,,,,,,,,2026-04-07 09:51:58.748000
urn:ngsi-ld:attribute:instance:6b3ee872-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 09:00:00,f,DD,None,Number,,,121,,,,,,,,,2026-04-07 09:51:58.748000
urn:ngsi-ld:attribute:instance:6b3ee91c-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,2026-04-07 09:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 09:51:58.748000
urn:ngsi-ld:attribute:instance:6b3eeafc-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8439X,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T09:00:00+0000""}",,,,,,,2026-04-07 09:51:58.748000
urn:ngsi-ld:attribute:instance:6b403ff6-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8486X,2026-04-07 09:00:00,f,,None,Number,,,40.362515,,,,,,,,,2026-04-07 09:51:58.757000
urn:ngsi-ld:attribute:instance:6b4040d2-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8486X,2026-04-07 09:00:00,f,,None,Number,,,-0.454339,,,,,,,,,2026-04-07 09:51:58.757000
urn:ngsi-ld:attribute:instance:6b40417c-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8486X,2026-04-07 09:00:00,f,CEL,None,Number,,,14,,,,,,,,,2026-04-07 09:51:58.757000
urn:ngsi-ld:attribute:instance:6b404226-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8486X,2026-04-07 09:00:00,f,P1,None,Number,,,41,,,,,,,,,2026-04-07 09:51:58.757000
urn:ngsi-ld:attribute:instance:6b4042d0-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8486X,2026-04-07 09:00:00,f,MTS,None,Number,,,3.5,,,,,,,,,2026-04-07 09:51:58.757000
urn:ngsi-ld:attribute:instance:6b40437a-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8486X,2026-04-07 09:00:00,f,DD,None,Number,,,160,,,,,,,,,2026-04-07 09:51:58.757000
urn:ngsi-ld:attribute:instance:6b40442e-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8486X,2026-04-07 09:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 09:51:58.757000
urn:ngsi-ld:attribute:instance:6b4044ce-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8486X,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T09:00:00+0000""}",,,,,,,2026-04-07 09:51:58.757000
urn:ngsi-ld:attribute:instance:6b419004-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8489X,2026-04-07 09:00:00,f,,None,Number,,,40.433217,,,,,,,,,2026-04-07 09:51:58.765000
urn:ngsi-ld:attribute:instance:6b4190ea-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8489X,2026-04-07 09:00:00,f,,None,Number,,,-0.255675,,,,,,,,,2026-04-07 09:51:58.765000
urn:ngsi-ld:attribute:instance:6b41919e-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8489X,2026-04-07 09:00:00,f,CEL,None,Number,,,16,,,,,,,,,2026-04-07 09:51:58.765000
urn:ngsi-ld:attribute:instance:6b419248-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8489X,2026-04-07 09:00:00,f,P1,None,Number,,,40,,,,,,,,,2026-04-07 09:51:58.765000
urn:ngsi-ld:attribute:instance:6b4192e8-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/atmosphericPressure,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8489X,2026-04-07 09:00:00,f,HPA,None,Number,,,893.9,,,,,,,,,2026-04-07 09:51:58.765000
urn:ngsi-ld:attribute:instance:6b41939c-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8489X,2026-04-07 09:00:00,f,MTS,None,Number,,,2.8,,,,,,,,,2026-04-07 09:51:58.765000
