instanceid,id,opmode,entityid,observedat,subproperties,unitcode,datasetid,valuetype,text,boolean,number,datetime,compound,geopoint,geomultipoint,geopolygon,geomultipolygon,geolinestring,geomultilinestring,ts
urn:ngsi-ld:attribute:instance:270e1816-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 13:00:00,f,DD,None,Number,,,58,,,,,,,,,2026-04-07 13:31:58.741000
urn:ngsi-ld:attribute:instance:270e1a00-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 13:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 13:31:58.741000
urn:ngsi-ld:attribute:instance:270e1ad2-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T13:00:00+0000""}",,,,,,,2026-04-07 13:31:58.741000
urn:ngsi-ld:attribute:instance:270f9e34-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 13:00:00,f,,None,Number,,,39.113382,,,,,,,,,2026-04-07 13:31:58.751000
urn:ngsi-ld:attribute:instance:270f9f6a-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 13:00:00,f,,None,Number,,,-0.445908,,,,,,,,,2026-04-07 13:31:58.751000
urn:ngsi-ld:attribute:instance:270fa15e-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 13:00:00,f,CEL,None,Number,,,22.4,,,,,,,,,2026-04-07 13:31:58.751000
urn:ngsi-ld:attribute:instance:270fa23a-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 13:00:00,f,P1,None,Number,,,49,,,,,,,,,2026-04-07 13:31:58.751000
urn:ngsi-ld:attribute:instance:270fa2da-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 13:00:00,f,MTS,None,Number,,,3.3,,,,,,,,,2026-04-07 13:31:58.751000
urn:ngsi-ld:attribute:instance:270fa384-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 13:00:00,f,DD,None,Number,,,20,,,,,,,,,2026-04-07 13:31:58.751000
urn:ngsi-ld:attribute:instance:270fa42e-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 13:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 13:31:58.751000
urn:ngsi-ld:attribute:instance:270fa4ce-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T13:00:00+0000""}",,,,,,,2026-04-07 13:31:58.751000
urn:ngsi-ld:attribute:instance:2710cfe8-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 13:00:00,f,,None,Number,,,39.183889,,,,,,,,,2026-04-07 13:31:58.759000
urn:ngsi-ld:attribute:instance:2710d0c4-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 13:00:00,f,,None,Number,,,-0.371389,,,,,,,,,2026-04-07 13:31:58.759000
urn:ngsi-ld:attribute:instance:2710d16e-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 13:00:00,f,CEL,None,Number,,,20.8,,,,,,,,,2026-04-07 13:31:58.759000
urn:ngsi-ld:attribute:instance:2710d218-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 13:00:00,f,P1,None,Number,,,53,,,,,,,,,2026-04-07 13:31:58.759000
urn:ngsi-ld:attribute:instance:2710d2cc-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/atmosphericPressure,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 13:00:00,f,HPA,None,Number,,,1019.1,,,,,,,,,2026-04-07 13:31:58.759000
urn:ngsi-ld:attribute:instance:2710d3a8-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 13:00:00,f,MTS,None,Number,,,3.1,,,,,,,,,2026-04-07 13:31:58.759000
urn:ngsi-ld:attribute:instance:2710d466-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 13:00:00,f,DD,None,Number,,,74,,,,,,,,,2026-04-07 13:31:58.759000
urn:ngsi-ld:attribute:instance:2710d506-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,2026-04-07 13:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 13:31:58.759000
urn:ngsi-ld:attribute:instance:2710d5a6-3286-11f1-a569-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8325X,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T13:00:00+0000""}",,,,,,,2026-04-07 13:31:58.759000
urn:ngsi-ld:attribute:instance:2712346e-3286-11f1-8179-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 13:00:00,f,,None,Number,,,39.485015,,,,,,,,,2026-04-07 13:31:58.768000
urn:ngsi-ld:attribute:instance:27123568-3286-11f1-8179-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 13:00:00,f,,None,Number,,,-0.474677,,,,,,,,,2026-04-07 13:31:58.768000
urn:ngsi-ld:attribute:instance:27123612-3286-11f1-8179-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 13:00:00,f,CEL,None,Number,,,21.2,,,,,,,,,2026-04-07 13:31:58.768000
urn:ngsi-ld:attribute:instance:271236bc-3286-11f1-8179-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 13:00:00,f,P1,None,Number,,,42,,,,,,,,,2026-04-07 13:31:58.768000
urn:ngsi-ld:attribute:instance:2712375c-3286-11f1-8179-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/atmosphericPressure,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 13:00:00,f,HPA,None,Number,,,1013.3,,,,,,,,,2026-04-07 13:31:58.768000
urn:ngsi-ld:attribute:instance:27123806-3286-11f1-8179-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 13:00:00,f,MTS,None,Number,,,4.1,,,,,,,,,2026-04-07 13:31:58.768000
urn:ngsi-ld:attribute:instance:271238e2-3286-11f1-8179-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 13:00:00,f,DD,None,Number,,,90,,,,,,,,,2026-04-07 13:31:58.768000
urn:ngsi-ld:attribute:instance:271239c8-3286-11f1-8179-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,2026-04-07 13:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 13:31:58.768000
urn:ngsi-ld:attribute:instance:27123aa4-3286-11f1-8179-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8414A,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T13:00:00+0000""}",,,,,,,2026-04-07 13:31:58.768000
urn:ngsi-ld:attribute:instance:271387ec-3286-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 13:00:00,f,,None,Number,,,39.480557,,,,,,,,,2026-04-07 13:31:58.777000
urn:ngsi-ld:attribute:instance:271388d2-3286-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 13:00:00,f,,None,Number,,,-0.366387,,,,,,,,,2026-04-07 13:31:58.777000
urn:ngsi-ld:attribute:instance:27138986-3286-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 13:00:00,f,CEL,None,Number,,,20,,,,,,,,,2026-04-07 13:31:58.777000
urn:ngsi-ld:attribute:instance:27138a30-3286-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8416Y,2026-04-07 13:00:00,f,P1,None,Number,,,58,,,,,,,,,2026-04-07 13:31:58.777000
